doc_id,title,text
1,UP,Estamos listos para dar el siguiente paso. El paso valiente. El paso ﬁrme. Hoy es el día en que comenzamos la evolución del cambio para Costa Rica.
1,UP,"Estamos cerrando un gobierno que sí, le abrió los ojos a la gente. Que se atrevió a decir verdades incómodas, a poner sobre la mesa lo que muchos callaron por años."
1,UP,"Ese despertar fue importante, fue necesario. Pero ahora toca algo mucho más exigente, más interesante, que es pasar de las denuncias a las soluciones. De los reclamos a los resultados."
1,UP,"Yo no vine aquí a buscar más excusas. Costa Rica está cansada de la repartición de culpas. Yo no reconozco enemigos distintos al desempleo, al alto costo de vida, al atraso, a la corrupción, y a los criminales que quieren adueñarse de nuestras calles, de nuestro territorio. A todo eso me voy a enfrentar. Sin miedo, sin titubeos."
1,UP,"Tengo la fuerza, el carácter y la experiencia. Conozco este país. Lo he caminado, lo he escuchado, lo he vivido. Sé dónde están las heridas, pero también sé dónde están las soluciones. Y ahora estoy lista para gobernar. No para llegar a improvisar. Para gobernar en serio, con orden, con ﬁrmeza y con resultados."
1,UP,"Quiero ser presidente porque sé que se pueden hacer muchas cosas desde esa silla, si hay visión, si hay liderazgo, si hay prioridades, si hay agenda."
1,UP,"Hay que poner a las instituciones a trabajar para que el Estado vuelva a tener sentido. Hay que darles dirección, hay que marcarles el rumbo, y devolverle a la ciudadanía el propósito de los impuestos que pagan. Que se traduzcan en seguridad, salud, educación y oportunidades. Que el costarricense vuelva a sentir que sí vale la pena."
1,UP,"Mi compromiso es inquebrantable con la seguridad de Costa Rica. Vamos a enfrentar al crimen organizado con toda la fuerza del Estado. Es nuestro derecho, es nuestro territorio. Se acabó el miedo. Se acabó la impunidad."
1,UP,"Y esto incluye controlar la migración desordenada ejerciendo soberanía. El que viene a trabajar y a aportar al país, bienvenido. Pero el que viene a delinquir o a vivir del sistema, se va. Costa Rica es generosa, pero no ingenua. ¡No más abuso!"
1,UP,"Y sepan que los privados de libertad van a trabajar. Van a reparar el daño que le hicieron al país con sudor, con responsabilidad y con disciplina. Esa es la justicia que la ciudadanía, pero sobre todo las víctimas exigen y merecen."
